Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,213.429998,214.499996,89.470001,214.009998,123432400,27.727039
2010-01-05,214.599998,215.589994,89.650002,214.379993,150476200,27.774976
2010-01-06,214.379993,215.23,89.800003,210.969995,138040000,27.333178
2010-01-07,211.75,212.000006,90,210.58,,27.28265
2010-01-08,210.299994,212.000006,90.190002,211.980005,111902700,27.464034
2010-01-11,,213.000002,90.599998,210.110003,115557400,27.221758
2010-01-12,209.189995,209.769995,90.769997,207.720001,148614900,26.91211
2010-01-13,207.870005,210.929995,90.879997,210.650002,151473000,27.29172
2010-01-14,210.110003,210.459997,90.900002,209.43,108223500,27.133657
2010-01-15,210.929995,211.599997,91.339996,205.93,,26.680198
2010-01-19,208.330002,215.189999,91.349998,215.039995,182501900,27.860485
2010-01-20,214.910006,215.549994,91.449997,211.73,153038200,27.431644
2010-01-21,212.079994,213.309996,91.5,208.069996,152038600,26.957455
2010-01-22,206.780006,207.499996,91.650002,197.75,220441900,25.620401
2010-01-25,202.510002,204.699999,91.75,203.070002,266424900,26.309658
2010-01-26,205.950001,213.710005,91.800003,205.940001,466777500,26.681494
2010-01-26,205.950001,213.710005,91.800003,205.940001,466777500,26.681494
2010-01-27,206.849995,210.58,91.849998,207.880005,430642100,26.93284
2010-01-28,204.930004,205.500004,91.900002,199.289995,293375600,25.819922
2010-01-29,201.079996,202.199995,92,192.060003,311488100,24.883208
2010-02-01,192.369997,196,92.089996,194.729998,187469100,25.229131
2010-02-02,195.909998,196.319994,92.110001,195.859997,174585600,25.375533
2010-02-03,195.169994,200.200003,92.139999,199.229994,153832000,25.812149
2010-02-04,196.730003,198.370001,92.389999,192.050003,189413000,24.881912
2010-02-04,196.730003,198.370001,92.389999,192.050003,189413000,24.881912
2010-02-05,192.630003,196,92.400002,195.460001,212576700,25.32371
2010-02-08,195.690006,197.880003,92.459999,194.119997,119567700,25.1501
2010-02-09,196.419996,197.499994,92.510002,196.190004,158221700,25.418289
2010-02-09,196.419996,197.499994,92.510002,196.190004,158221700,25.418289
2010-02-10,195.889997,196.6,92.57,195.120007,92590400,25.27966
2010-02-11,194.880001,199.750006,92.589996,198.669994,137586400,25.739595
2010-02-12,198.109995,201.639996,92.589996,200.379993,163867200,25.961142
2010-02-16,201.940002,203.690002,92.650002,203.399996,135934400,26.352412
2010-02-17,204.190001,204.310003,92.68,202.550003,109099200,26.242287
2010-02-18,201.629995,203.889994,93.010002,202.929998,105706300,26.291519
2010-02-19,201.860001,203.200005,93.010002,201.669996,103867400,26.128274
2010-02-22,202.339998,202.500002,93.019997,200.419994,97640900,25.966324
2010-02-23,199.999998,201.330002,93.040001,197.059998,143773700,25.531005
2010-02-24,198.229998,201.440004,93.089996,200.66,115141600,25.997419
2010-02-25,197.380005,202.859997,93.129997,202.000004,166281500,26.17103
2010-02-26,202.379999,205.169996,93.199997,204.619997,126865200,26.510475
2010-03-01,205.749996,209.500002,93.279999,208.990004,137523400,27.076651
2010-03-02,209.929998,210.830006,93.32,208.85,141636600,27.058512
2010-03-02,209.929998,210.830006,93.32,208.85,141636600,27.058512
2010-03-03,208.940002,209.869997,93.339996,209.329998,93013200,27.120701
2010-03-04,209.279997,210.919994,93.419998,210.710003,91510300,27.299493
2010-03-05,214.940006,219.699995,93.470001,218.950005,224905100,28.367064
2010-03-08,220.010002,220.090004,93.519997,219.079994,107472400,28.383906
2010-03-09,218.310003,224.999996,93.57,223.020004,230064800,28.894372
2010-03-10,223.829996,225.480007,93.57,224.839993,149054500,29.130168
2010-03-11,223.909998,225.500008,93.629997,225.500008,101425100,29.21568
2010-03-12,227.37001,227.729992,93.68,226.600006,104080900,29.358195
2010-03-15,225.380005,225.500008,93.690002,223.839996,123375700,29.000609
2010-03-16,224.180004,224.979996,93.720001,224.449997,111727000,29.079641
2010-03-17,224.899994,226.449989,93.82,224.120003,112739200,29.036887
2010-03-18,224.100002,224.999996,93.889999,224.650002,85527400,29.105553
2010-03-19,224.790005,225.240002,93.919998,222.25,139861400,28.79461
2010-03-22,220.469999,225.999992,93.93,224.750004,114104900,29.11851
2010-03-23,225.640011,228.780003,94.080002,228.359993,150607800,29.586218
2010-03-24,227.640003,230.200008,94.099998,229.370003,149445100,29.717075
2010-03-25,230.919998,230.970013,94.099998,226.649994,135571100,29.364671
2010-03-26,228.949993,231.950008,94.099998,230.899998,160218800,29.9153
2010-03-29,232.999992,233.869999,94.120003,232.389992,135186100,30.108343
2010-03-30,236.599995,237.479988,94.25,235.849991,131827500,30.556619
2010-03-31,235.490009,236.610008,94.279999,235.000011,107664900,30.446496
2010-04-01,237.41,238.730003,94.300003,235.969994,150786300,30.572166
2010-04-05,234.980011,238.509998,94.349998,238.489998,171126900,30.898657
2010-04-06,238.200005,240.239998,94.360001,239.540009,111754300,31.034696
2010-04-07,239.549995,241.92001,94.370003,240.600006,157125500,31.172029
2010-04-08,240.440002,241.540001,94.459999,239.950005,143247300,31.087815
2010-04-09,241.430012,241.889996,94.519997,241.789993,83545700,31.326203
2010-04-09,241.430012,241.889996,94.519997,241.789993,83545700,31.326203
2010-04-12,242.199989,243.069996,94.550003,242.290005,83256600,31.390984
2010-04-13,241.860008,242.800003,94.610001,242.430008,76552700,31.409123
2010-04-14,245.280006,245.810005,94.68,245.690002,101019100,31.831486
2010-04-15,245.779991,249.029999,94.709999,248.92001,94196200,32.249965
2010-04-16,248.569988,251.140007,94.739998,247.400002,187636400,32.053033
2010-04-19,247.030006,247.889999,94.760002,247.070007,141731100,32.010279
2010-04-20,248.540001,249.250004,94.809998,244.590004,184581600,31.688971
2010-04-21,258.799995,260.249989,94.839996,259.220005,245597800,33.584427
2010-04-22,258.240009,266.750004,94.860001,266.469997,198356200,34.523733
2010-04-23,267.990005,272.180008,94.940002,270.82999,199238900,35.088612
2010-04-26,271.880001,272.459988,95.029999,269.5,119767200,34.916299
2010-04-27,267.269989,267.839989,95.029999,262.039989,177335900,33.949783
2010-04-28,263.250004,264.000008,95.169998,261.600006,189600600,33.892779
2010-04-29,263.020012,270.000011,95.169998,268.640007,139710200,34.804879
2010-04-30,269.310009,270.570011,95.18,261.090008,135615900,33.826704
2010-05-03,263.840004,267.87999,95.190002,266.349995,113585500,34.508186
2010-05-04,262.889996,263.290005,95.25,258.679993,180954900,33.514464
2010-05-05,253.03001,258.140007,95.25,255.989998,220775800,33.165949
2010-05-06,253.830002,258.249996,95.300003,246.249989,321465200,31.904038
2010-05-07,243.710011,246.569996,95.330002,235.860004,419004600,30.557916
2010-05-10,250.25,254.649994,95.330002,253.990005,246076600,32.906831
2010-05-11,251.839996,259.890007,95.349998,256.519997,212226700,33.234616
2010-05-12,259.240005,263.130001,95.360001,262.090004,163594900,33.956263
2010-05-13,263.21999,265.000004,95.400002,258.360012,149928100,33.473007
2010-05-14,255.159992,256.479996,95.410004,253.819988,189840700,32.884804
2010-05-17,254.700008,256.179989,95.5,254.219997,190708700,32.936629
2010-05-18,256.980007,258.550003,95.610001,252.360008,195669600,32.695649
2010-05-19,249.499996,252.919994,95.620003,248.339996,256431700,32.174818
2010-05-20,241.880009,243.849987,95.650002,237.759995,320728800,30.804078
2010-05-21,232.819988,244.499989,95.669998,242.319992,305972800,31.394869
2010-05-24,247.279999,250.900002,95.68,246.759987,188559700,31.970113
2010-05-25,239.349991,246.759987,95.739998,245.220005,262001600,31.770594
2010-05-26,250.080009,252.12999,95.800003,244.109993,212663500,31.626781
2010-05-27,250.599995,253.890003,95.919998,253.349991,166570600,32.823911
2010-05-28,259.389996,259.400009,96.040001,256.880005,203903700,33.281258
2010-06-01,259.690002,265.939999,96.050003,260.830002,219118200,33.793018
2010-06-02,264.539993,264.799999,96.07,263.949993,172137000,34.197243
2010-06-03,265.180008,265.550003,96.089996,263.119987,162526700,34.089707
2010-06-04,258.209995,261.900013,96.139999,255.960011,189576100,33.162064
2010-06-07,258.289997,259.14999,96.150002,250.940002,221735500,32.511674
2010-06-08,253.240002,253.799988,96.419998,249.330006,250192600,32.303084
2010-06-09,251.470001,251.899998,96.419998,243.200012,213657500,31.508884
2010-06-10,244.839996,250.980003,96.43,250.510006,194089000,32.455964
2010-06-11,248.230007,253.859989,96.580002,253.509995,136439800,32.844641
2010-06-14,255.960011,259.14999,96.629997,254.279999,150740100,32.944402
2010-06-15,255.640003,259.850006,96.639999,259.690002,146268500,33.64532
2010-06-16,261.099995,267.75,96.650002,267.249989,195919500,34.624789
2010-06-17,270.599998,272.899998,96.730003,271.869987,218213800,35.223354
2010-06-18,272.249996,274.999992,96.75,274.070011,196155400,35.508388
2010-06-21,277.689987,279.009991,96.760002,270.170002,194122600,35.003104
2010-06-22,272.160007,275.970001,96.800003,273.850006,179315500,35.479884
2010-06-23,274.580009,274.660011,96.809998,270.969994,192114300,35.106751
2010-06-24,271.000008,273.200005,96.839996,268.999989,178569300,34.851518
2010-06-25,270.060013,270.270004,96.839996,266.699989,137485600,34.553531
2010-06-28,266.930008,269.749992,96.860001,268.299999,146237000,34.760827
2010-06-29,264.12001,264.390003,96.919998,256.170002,283336200,33.18927
2010-06-30,256.709988,257.96999,97.029999,251.530003,184863000,32.588114
2010-07-01,254.299999,254.800011,97.099998,248.48,255724000,32.192957
2010-07-02,250.490005,250.929989,97.120003,246.939991,173460700,31.993434
2010-07-06,251.000004,252.799992,97.300003,248.62999,153808900,32.21239
2010-07-07,250.490005,258.770008,97.32,258.670006,163639000,33.51317
2010-07-08,262.48,262.900009,97.339996,258.089993,184536100,33.438024
2010-07-09,256.889992,259.899994,97.419998,259.619987,108330600,33.636249
2010-07-12,258.530003,261.849998,97.449997,257.290001,140719600,33.334377
2010-07-13,256.319992,256.399994,97.550003,251.799995,297731000,32.623094
2010-07-14,249.379993,255.800007,97.550003,252.730003,203011900,32.743586
2010-07-15,248.230007,256.969994,97.669998,251.450001,206216500,32.577749
2010-07-16,253.18,254.970001,97.720001,249.900005,259964600,32.376932
2010-07-19,249.880005,249.880005,97.760002,245.580013,256119500,31.817236
2010-07-20,242.900005,252.899994,97.790001,251.890011,268737700,32.634757
2010-07-21,265.089993,265.149994,97.980003,254.239998,296417800,32.93922
2010-07-22,257.679996,259.999996,98.040001,259.02,161329700,33.558515
2010-07-23,257.089996,260.380005,98.050003,259.939995,133347200,33.677709
2010-07-26,259.999996,260.099998,98.07,259.280006,105137900,33.592201
2010-07-27,260.870003,264.799999,98.110001,264.080009,146192900,34.214087
2010-07-28,263.669987,265.990013,98.220001,260.959991,129996300,33.809859
2010-07-29,260.709999,262.64999,98.25,258.109993,160951700,33.440615
2010-07-30,255.889996,259.699989,98.309998,257.25,112052500,33.329194
2010-08-02,260.440006,262.589989,98.309998,261.849998,107013900,33.925168
2010-08-03,261.010006,263.259991,98.309998,261.93,104413400,33.935533
2010-08-04,262.840008,264.279987,98.330002,262.980011,105093800,34.071572
2010-08-05,261.729996,263.179989,98.370003,261.700008,72274300,33.905736
2010-08-06,259.779991,261.48999,98.400002,260.090012,111224400,33.697145
2010-08-09,261.480003,262.150005,98.459999,261.749996,75782000,33.912212
2010-08-10,259.850006,260.449993,98.480003,259.409996,112980000,33.609043
2010-08-11,255.399998,255.689991,98.5,250.189999,155013600,32.414504
2010-08-12,246.689999,253.099998,98.57,251.790009,133730100,32.6218
2010-08-13,251.650005,251.879997,98.580002,249.099987,88717300,32.273282
2010-08-16,247.580006,250.009995,98.599998,247.640007,79607500,32.084128
2010-08-17,250.080009,254.629993,98.629997,251.970013,105660100,32.645122
2010-08-18,252.360008,254.669994,98.639999,253.070011,84924000,32.787637
2010-08-19,252.839993,253.480007,98.68,249.880005,106676500,32.374341
2010-08-20,249.390007,253.919991,98.699997,249.639999,96057500,32.343246
2010-08-23,251.790009,252,98.730003,245.799992,103510400,31.845737
2010-08-24,242.669987,243.000008,98.82,239.930004,150641400,31.085224
2010-08-25,238.040001,243.98999,98.839996,242.889992,149216900,31.468718
2010-08-26,245.449997,245.750004,98.889999,240.279999,116626300,31.130569
2010-08-27,241.749992,242.610012,98.959999,241.620003,137097800,31.304179
2010-08-30,240.76001,245.750004,99.040001,242.499996,95822300,31.418191
2010-08-31,241.849995,244.55999,99.129997,243.10001,105196700,31.495928
